lat,long,diameter
18,19,41.44393979640129
36,1731,56.22680668131002
18,7659,41.962963317296
19,614,32.60605802383755
19,7537,29.811427376513585
27,975,52.36943745506095
15,2650,20.958712816717327
16,3980,22.42609239636699
17,5726,27.570346537664197
27,6178,45.82108694987804
17,6227,34.05761625912379
16,7047,25.13019725725687
16,651,21.616635097022034
7,1236,9.304852983362556
7,1350,9.440697438826296
13,1863,12.565098628628435
11,1884,15.877702285203682
10,1960,12.153015559492998
7,2282,7.136496464611085
7,2595,10.341765891652821
11,2757,15.26443044094783
10,3584,15.99753570059363
6,3762,9.574614729634384
38,3850,54.27961225466857
14,4088,18.29923496393627
14,4625,18.609705966725112
11,4729,16.622063085174787
7,4847,6.6755811781245455
14,5185,23.56124872549269
7,5574,9.83698151873187
12,5999,13.540550005146152
7,6120,10.998079684646791
8,6756,6.955796338302048
7,6814,8.291859587312052
14,6877,20.12188299403865
7,90,7.136496464611085
7,1509,4.652426491681278
7,1773,4.652426491681278
7,1811,6.076507779746499
7,1941,5.4115163798060095
8,2149,7.399277020331919
7,2454,5.753627391751592
7,2977,4.222008245644752
7,3048,8.058239062071396
7,3142,4.068428945128219
16,3733,18.159544104586082
7,4148,4.652426491681278
7,4249,5.527906391541368
7,4306,4.918490759365935
7,5048,4.787307364817192
7,6336,6.076507779746499
7,6368,7.569397566060481
7,6713,5.863230142835039
7,7095,6.383076486422923
7,7204,5.527906391541368
7,7405,4.068428945128219
7,7586,4.068428945128219
10,560,5.527906391541368
9,3437,5.753627391751592
15,5160,8.444016491289505
13,4140,4.51351666838205
15,4884,4.068428945128219
15,1233,7.898654169668588
16,2452,5.970821321441846
16,5570,12.205286835384658
19,5979,15.306079714651624
15,6121,10.645107772184812
15,6333,5.046265044040321
16,6366,8.884866446580956
15,1771,4.51351666838205
20,2593,14.317526556719258
16,2601,5.970821321441846
16,3379,7.48482063701911
20,6756,10.524820207108489
24,1360,13.911592676604096
16,4412,6.180387232371033
16,4252,5.170882945826411
16,4303,4.222008245644752
17,6710,4.370193722368317
17,3759,4.918490759365935
17,6525,4.068428945128219
21,3717,6.955796338302048
24,1924,8.136857890256438
26,2723,15.054455784347004
25,3566,11.507254783503184
27,926,11.170383851240114
25,1888,4.370193722368317
24,1894,4.787307364817192
24,2751,5.527906391541368
23,5571,4.222008245644752
24,5993,7.225151993843567
27,1864,7.735777827895049
24,3941,4.787307364817192
26,6735,6.282549314314218
25,6818,4.068428945128219
43,6384,27.431452220735256
32,7532,4.370193722368317
52,2122,42.744575640599805
36,7533,5.170882945826411
38,6786,6.579524642479541
42,1373,9.901487006738307
87,2423,72.12805820059123
41,1385,6.180387232371033
42,1641,5.046265044040321
50,1795,20.806283791440396
46,1746,5.046265044040321
58,3029,32.60605802383755
72,1680,27.245158369526866
57,6150,13.911592676604096
65,1124,22.98683125324351
57,1470,5.170882945826411
